Campaign_ID,Channel_Used,Campaign_Goal,Customer_Segment,Target_Audience,gender,age_group,Duration,duration_days,Date,Clicks,Impressions,ctr,Conversion_Rate,Engagement_Score,engagement_tier,acquisition_cost,cost_per_click,ROI,Location,Language,Company
407836,Instagram,Increase Sales,Food,Men 45-60,Men,45-60,15 Days,15,2022-02-07,1127,4859,0.2319407285449681,0.14,9,high,500.0,0.44365572315882873,1.23,Los Angeles,French,Nosh Nirvana
260992,Instagram,Market Expansion,Technology,Men 35-44,Men,35-44,45 Days,45,2022-07-16,29930,90173,0.33191753629135107,0.1,5,mid,11313.39,0.37799498830604744,6.34,Los Angeles,French,NexGen Nerds
845356,Instagram,Brand Awareness,Technology,Men 18-24,Men,18-24,15 Days,15,2022-01-10,3111,10736,0.2897727272727273,0.07,10,high,1138.24,0.36587592414014786,0.21,Los Angeles,Spanish,NexGen Nerds
331673,Instagram,Increase Sales,Technology,Women 25-34,Women,25-34,15 Days,15,2022-09-12,7136,22656,0.3149717514124294,0.07,8,high,2907.96,0.4075056053811659,5.88,Austin,Spanish,NexGen Nerds
195660,Instagram,Brand Awareness,Food,Men 18-24,Men,18-24,15 Days,15,2022-02-13,1190,5046,0.2358303606817281,0.09,4,mid,500.0,0.42016806722689076,4.67,Los Angeles,French,Nosh Nirvana
328860,Instagram,Product Launch,Home,Men 45-60,Men,45-60,60 Days,60,2022-12-06,31363,94418,0.3321718316422716,0.14,4,mid,11844.98,0.3776736919299812,3.87,New York,French,Domestic Dream
547018,Instagram,Product Launch,Fashion,Men 35-44,Men,35-44,60 Days,60,2022-03-26,31879,95947,0.33225634985981845,0.09,4,mid,12043.87,0.37779949182847644,4.36,Miami,English,Fiber Fashion
750159,Instagram,Product Launch,Food,Women 35-44,Women,35-44,30 Days,30,2022-03-30,11472,35500,0.3231549295774648,0.09,5,mid,4523.92,0.3943444909344491,7.64,Las Vegas,English,Gourmet Grove
153981,Instagram,Increase Sales,Fashion,Men 35-44,Men,35-44,60 Days,60,2022-09-01,34653,104163,0.33268051035396445,0.1,10,high,13112.05,0.3783813811214036,1.43,Austin,French,Vogue Visions
170011,Instagram,Brand Awareness,Health,Women 35-44,Women,35-44,45 Days,45,2022-04-25,23532,71221,0.33040816613077606,0.06,6,mid,8964.12,0.38093319734829173,5.41,Miami,English,Well Wish
581949,Instagram,Market Expansion,Home,Women 35-44,Women,35-44,45 Days,45,2022-08-04,27901,84164,0.33150753291193386,0.08,2,low,10569.94,0.3788373176588653,7.62,Los Angeles,French,Hearth Harmony
857874,Instagram,Brand Awareness,Home,Men 25-34,Men,25-34,45 Days,45,2022-08-23,24361,73679,0.3306369521844759,0.02,6,mid,9273.03,0.3806506301054965,6.23,Los Angeles,French,Decor Dreams
639360,Instagram,Brand Awareness,Home,Women 18-24,Women,18-24,30 Days,30,2022-02-12,15074,46170,0.3264890621615768,0.09,7,high,5846.29,0.3878393259917739,3.0,Miami,English,Space Spruce
161041,Instagram,Increase Sales,Fashion,Women 25-34,Women,25-34,45 Days,45,2022-10-08,28102,84760,0.3315478999528079,0.1,7,high,10641.92,0.3786890612767775,1.88,New York,Spanish,Vogue Visions
438040,Instagram,Product Launch,Health,Women 35-44,Women,35-44,60 Days,60,2022-10-29,36419,109394,0.3329158820410626,0.08,3,mid,13881.25,0.3811540679315742,0.68,Las Vegas,Spanish,Elixir Essence
977473,Instagram,Market Expansion,Fashion,Men 45-60,Men,45-60,60 Days,60,2022-01-27,36056,108320,0.3328655834564254,0.07,10,high,13713.61,0.3803419680497005,1.34,Los Angeles,French,Runway Rebels
359806,Instagram,Product Launch,Technology,All Ages,,,60 Days,60,2022-08-14,39850,119556,0.33331660477098596,0.13,8,high,15000.0,0.37641154328732745,0.3,Los Angeles,Spanish,Code Crafters
501191,Instagram,Market Expansion,Health,Women 25-34,Women,25-34,30 Days,30,2022-12-14,14846,45496,0.3263144012660454,0.01,8,high,5763.38,0.38821096591674525,7.66,Austin,French,Fitness Front
426459,Instagram,Increase Sales,Food,Men 35-44,Men,35-44,45 Days,45,2022-01-09,29937,90196,0.3319105060091357,0.05,10,high,11315.85,0.37798877643050405,4.16,New York,English,Nosh Nirvana
425859,Instagram,Product Launch,Technology,Men 35-44,Men,35-44,60 Days,60,2022-04-25,39291,117901,0.3332541708721724,0.13,10,high,15000.0,0.3817668168282813,3.94,New York,English,Giga Geeks
780917,Instagram,Market Expansion,Food,Women 25-34,Women,25-34,60 Days,60,2022-12-31,36495,109620,0.33292282430213466,0.11,8,high,13917.04,0.38134100561720785,3.81,Miami,English,Gastronomy Guild
473815,Instagram,Increase Sales,Fashion,Women 25-34,Women,25-34,30 Days,30,2022-08-22,14614,44807,0.32615439551855735,0.06,5,mid,5675.12,0.388334473792254,5.31,New York,English,Fiber Fashion
193682,Instagram,Market Expansion,Health,Men 18-24,Men,18-24,45 Days,45,2022-12-04,26329,79507,0.3311532317909115,0.13,6,mid,9992.2,0.37951308443161536,7.16,New York,French,Vigor Valley
578664,Instagram,Market Expansion,Health,All Ages,,,60 Days,60,2022-10-20,38726,116229,0.3331870703524938,0.15,9,high,15000.0,0.38733667303620306,7.46,Miami,English,Wellness Waves
266547,Instagram,Increase Sales,Food,Men 45-60,Men,45-60,15 Days,15,2022-10-01,4923,16102,0.3057384175878773,0.05,8,high,2009.16,0.4081170018281536,6.73,Las Vegas,English,Epicurean Edge
259152,Instagram,Brand Awareness,Health,Women 35-44,Women,35-44,45 Days,45,2022-08-07,21230,64404,0.32963791068877707,0.11,5,mid,8115.43,0.38226236457842677,3.38,Miami,Spanish,Aura Align
282054,Instagram,Market Expansion,Health,Women 18-24,Women,18-24,30 Days,30,2022-01-02,16478,50329,0.3274056706868803,0.14,2,low,6362.62,0.386128170894526,5.93,Miami,Spanish,Aura Align
581639,Instagram,Increase Sales,Technology,Men 18-24,Men,18-24,45 Days,45,2022-11-14,24398,73788,0.3306499701848539,0.03,7,high,9286.5,0.38062546110336914,1.75,Las Vegas,French,NexGen Nerds
498506,Instagram,Brand Awareness,Home,Men 18-24,Men,18-24,45 Days,45,2022-12-17,21799,66090,0.3298380995612044,0.05,8,high,8321.89,0.3817555851185834,1.03,Austin,English,Homely Haven
228391,Instagram,Market Expansion,Health,All Ages,,,15 Days,15,2022-04-08,8640,27112,0.3186780761286515,0.11,9,high,3484.03,0.403244212962963,4.63,Los Angeles,French,Wellness Waves
776925,Instagram,Brand Awareness,Home,Men 18-24,Men,18-24,60 Days,60,2022-09-07,30894,93029,0.3320899934429049,0.09,5,mid,11667.65,0.3776671845665825,0.36,Las Vegas,English,Nest Neat
829630,Instagram,Product Launch,Food,Women 35-44,Women,35-44,60 Days,60,2022-06-30,38461,115442,0.33316297361445574,0.05,1,low,15000.0,0.39000546007644105,3.76,Miami,Spanish,Culinary Quest
601757,Instagram,Market Expansion,Technology,Men 45-60,Men,45-60,15 Days,15,2022-10-12,3517,11937,0.29463014157661055,0.09,9,high,1353.69,0.3848990617003128,3.88,Austin,Spanish,Gadget Giants
880698,Instagram,Product Launch,Food,Women 35-44,Women,35-44,15 Days,15,2022-08-30,3557,12056,0.29503981420039815,0.14,1,low,1375.11,0.38659263424233903,1.93,New York,English,Epicurean Edge
645079,Instagram,Market Expansion,Fashion,Men 25-34,Men,25-34,45 Days,45,2022-12-12,24272,73414,0.33061813822976543,0.09,3,mid,9239.64,0.380670731707317,5.92,Miami,Spanish,Runway Rebels
881879,Instagram,Brand Awareness,Health,All Ages,,,45 Days,45,2022-05-07,28947,87262,0.3317251495496321,0.02,4,mid,10955.36,0.37846270770718904,3.32,New York,French,Fitness Front
255562,Instagram,Market Expansion,Home,Women 35-44,Women,35-44,15 Days,15,2022-02-26,9789,30514,0.32080356557645673,0.07,9,high,3908.48,0.39927265297783227,1.77,Los Angeles,French,Nest Neat
887378,Instagram,Product Launch,Fashion,Men 45-60,Men,45-60,15 Days,15,2022-02-23,10348,32171,0.32165614994871156,0.11,6,mid,4111.93,0.3973647081561655,4.55,Las Vegas,French,Mode Maven
983923,Instagram,Product Launch,Technology,Men 35-44,Men,35-44,15 Days,15,2022-02-14,3562,12072,0.29506295559973494,0.04,4,mid,1377.75,0.38679112857944975,3.49,Austin,Spanish,Code Crafters
912803,Instagram,Increase Sales,Technology,Men 25-34,Men,25-34,45 Days,45,2022-12-30,26537,80124,0.33119914133093703,0.1,10,high,10068.35,0.37940799638240946,2.0,Las Vegas,French,Innovate Infinity
436896,Instagram,Product Launch,Fashion,Women 35-44,Women,35-44,15 Days,15,2022-12-07,2625,9295,0.2824098977945132,0.14,3,mid,867.29,0.33039619047619045,6.18,Miami,French,Style Sphere
776218,Instagram,Brand Awareness,Home,Women 35-44,Women,35-44,45 Days,45,2022-09-06,26569,80219,0.33120582405664495,0.05,8,high,10079.34,0.3793646731152847,0.55,Los Angeles,English,Nest Neat
129420,Instagram,Market Expansion,Health,Men 45-60,Men,45-60,45 Days,45,2022-12-20,28468,85842,0.33163253419072247,0.04,3,mid,10777.89,0.37859666994520164,5.55,Miami,Spanish,Wellness Waves
948143,Instagram,Increase Sales,Technology,Men 35-44,Men,35-44,60 Days,60,2022-06-01,37405,112316,0.33303358381708753,0.06,9,high,14373.73,0.3842729581606737,0.34,Austin,Spanish,NexGen Nerds
265786,Instagram,Product Launch,Fashion,Women 18-24,Women,18-24,30 Days,30,2022-09-19,11157,34569,0.32274581272238134,0.02,3,mid,4407.27,0.3950228556063458,2.88,Las Vegas,Spanish,Attire Artistry
415376,Instagram,Market Expansion,Health,Men 35-44,Men,35-44,60 Days,60,2022-07-23,31233,94034,0.332145819597167,0.03,4,mid,11793.4,0.37759421125092046,4.73,Las Vegas,Spanish,Balance Beam
609296,Instagram,Brand Awareness,Food,Men 35-44,Men,35-44,60 Days,60,2022-03-29,33455,100614,0.33250839843361757,0.09,4,mid,12640.21,0.3778272306082798,0.43,Austin,Spanish,Palate Paradise
456755,Instagram,Increase Sales,Technology,Men 18-24,Men,18-24,60 Days,60,2022-11-02,33760,101519,0.33254858696401657,0.02,4,mid,12757.61,0.3778912914691943,4.21,Las Vegas,French,Pixel Pioneers
684034,Instagram,Increase Sales,Technology,Women 25-34,Women,25-34,15 Days,15,2022-02-23,3077,10634,0.2893548993793493,0.14,5,mid,1117.66,0.36323041923951904,2.85,Austin,English,Tech Titans
634036,Instagram,Product Launch,Fashion,All Ages,,,45 Days,45,2022-03-16,25507,77072,0.3309502802574216,0.1,5,mid,9688.89,0.37985219743599796,0.25,Los Angeles,French,Vogue Visions
899161,Instagram,Increase Sales,Food,Men 35-44,Men,35-44,60 Days,60,2022-09-11,38793,116426,0.3331987700341848,0.09,10,high,15000.0,0.3866676977805274,7.66,Los Angeles,English,Culinary Quest
144494,Instagram,Increase Sales,Home,All Ages,,,60 Days,60,2022-05-05,31440,94646,0.3321851953595503,0.05,4,mid,11875.6,0.37772264631043256,1.79,Los Angeles,Spanish,Decor Dreams
848000,Instagram,Market Expansion,Health,Men 18-24,Men,18-24,15 Days,15,2022-12-11,1687,6517,0.2588614393125671,0.13,5,mid,500.0,0.2963841138114997,6.74,Austin,Spanish,Heal Hub
743326,Instagram,Increase Sales,Fashion,Men 35-44,Men,35-44,15 Days,15,2022-12-03,2349,8479,0.27703738648425524,0.13,4,mid,686.74,0.2923541932737335,5.52,Miami,French,Trend Tailors
352771,Instagram,Product Launch,Technology,Women 18-24,Women,18-24,60 Days,60,2022-04-18,32255,97060,0.33232021430043274,0.07,10,high,12183.5,0.37772438381646256,1.42,Los Angeles,Spanish,Code Crafters
806519,Instagram,Product Launch,Technology,Men 25-34,Men,25-34,60 Days,60,2022-06-03,35151,105638,0.332749578750071,0.13,2,low,13318.58,0.3788961907200364,5.06,Los Angeles,French,Silicon Saga
118839,Instagram,Brand Awareness,Health,Women 45-60,Women,45-60,30 Days,30,2022-12-29,17110,52200,0.3277777777777778,0.1,9,high,6600.88,0.3857907656341321,4.72,Miami,English,Vital Vigor
735073,Instagram,Product Launch,Home,Women 25-34,Women,25-34,15 Days,15,2022-01-26,7312,23179,0.3154579576340653,0.05,6,mid,2975.2,0.4068927789934354,1.22,Las Vegas,French,Space Spruce
651638,Instagram,Product Launch,Fashion,Women 45-60,Women,45-60,15 Days,15,2022-05-18,5644,18238,0.3094637569908981,0.03,8,high,2308.49,0.40901665485471295,6.33,Las Vegas,French,Glam Garments
873972,Instagram,Product Launch,Food,Women 35-44,Women,35-44,15 Days,15,2022-08-24,1655,6422,0.257707879165369,0.04,1,low,500.0,0.3021148036253776,7.19,Miami,French,Gourmet Grove
448452,Instagram,Brand Awareness,Home,Women 18-24,Women,18-24,60 Days,60,2022-03-05,37652,113045,0.3330709009686408,0.08,3,mid,14509.94,0.3853697014766812,2.08,Miami,French,Space Spruce
772960,Instagram,Increase Sales,Fashion,Women 45-60,Women,45-60,15 Days,15,2022-10-04,5080,16566,0.3066521791621393,0.03,7,high,2075.54,0.40857086614173227,4.36,Miami,French,Glam Garments
919952,Instagram,Market Expansion,Food,All Ages,,,15 Days,15,2022-04-25,8961,28062,0.3193286294633312,0.1,10,high,3600.52,0.4017989063720567,0.99,Las Vegas,French,Savor Street
358369,Instagram,Increase Sales,Health,Men 35-44,Men,35-44,60 Days,60,2022-08-27,33510,100777,0.33251634797622476,0.12,6,mid,12661.41,0.3778397493285586,1.4,Los Angeles,Spanish,Heal Hub
249237,Instagram,Increase Sales,Fashion,Women 35-44,Women,35-44,15 Days,15,2022-09-27,2587,9182,0.2817468961010673,0.08,2,low,846.6,0.3272516428295323,5.77,Miami,French,Fiber Fashion
839062,Instagram,Brand Awareness,Food,Men 35-44,Men,35-44,30 Days,30,2022-01-20,17009,51901,0.3277200824646924,0.14,8,high,6563.08,0.38585925098477275,0.5,New York,English,Epicurean Edge
685470,Instagram,Brand Awareness,Fashion,Women 18-24,Women,18-24,45 Days,45,2022-07-10,22127,67060,0.32995824634655535,0.02,10,high,8440.81,0.3814710534640936,1.79,Los Angeles,French,Runway Rebels
654970,Instagram,Product Launch,Fashion,All Ages,,,45 Days,45,2022-04-14,22665,68653,0.3301385227156861,0.1,8,high,8640.88,0.3812433267151996,5.18,Los Angeles,French,Runway Rebels
863955,Instagram,Increase Sales,Technology,Men 45-60,Men,45-60,45 Days,45,2022-01-28,29001,87422,0.3317357186978106,0.11,6,mid,10974.59,0.378421088927968,5.43,Las Vegas,French,NexGen Nerds
368626,Instagram,Brand Awareness,Fashion,Men 35-44,Men,35-44,60 Days,60,2022-10-29,37776,113413,0.3330835089451826,0.04,6,mid,14581.79,0.38600672384582807,0.72,Los Angeles,French,Vogue Visions
206764,Instagram,Product Launch,Technology,Women 45-60,Women,45-60,30 Days,30,2022-11-14,18801,57210,0.32863135815416883,0.14,6,mid,7222.03,0.3841300994627945,1.91,Las Vegas,French,Code Crafters
621561,Instagram,Brand Awareness,Home,Women 45-60,Women,45-60,30 Days,30,2022-05-09,13103,40331,0.32488656368550245,0.05,5,mid,5118.98,0.3906723651072273,5.32,Austin,English,Space Spruce
661783,Instagram,Market Expansion,Technology,Men 18-24,Men,18-24,60 Days,60,2022-04-21,36751,110378,0.3329558426498034,0.14,5,mid,14038.94,0.3820015781883486,2.26,Los Angeles,French,Tech Titans
318579,Instagram,Market Expansion,Health,Women 35-44,Women,35-44,45 Days,45,2022-01-04,29988,90345,0.3319276108251702,0.02,8,high,11334.39,0.3779641856742697,2.49,Los Angeles,Spanish,Pulse Point
867738,Instagram,Market Expansion,Fashion,Men 18-24,Men,18-24,30 Days,30,2022-08-21,10814,33552,0.32230567477348593,0.06,10,high,4281.36,0.3959090068429813,3.88,Miami,English,Glam Garments
392376,Instagram,Brand Awareness,Home,All Ages,,,15 Days,15,2022-06-21,8706,27306,0.31883102614809933,0.09,4,mid,3506.74,0.4027957730300942,1.43,Los Angeles,French,Homely Haven
600857,Instagram,Increase Sales,Fashion,Women 45-60,Women,45-60,45 Days,45,2022-01-26,30010,90410,0.3319323083729676,0.02,9,high,11343.08,0.37797667444185273,0.74,New York,Spanish,Fiber Fashion
119285,Instagram,Product Launch,Food,Women 45-60,Women,45-60,15 Days,15,2022-05-26,5570,18018,0.3091353091353091,0.09,6,mid,2277.68,0.40891921005385995,3.63,Las Vegas,French,Bistro Bliss
769384,Instagram,Market Expansion,Health,Men 45-60,Men,45-60,45 Days,45,2022-06-29,27542,83099,0.33143599802645035,0.08,1,low,10437.95,0.37898300776995136,7.87,Las Vegas,French,Balance Beam
174553,Instagram,Increase Sales,Food,All Ages,,,30 Days,30,2022-07-13,18203,55439,0.3283428633272606,0.13,8,high,7000.34,0.3845706751634346,4.83,New York,English,Gourmet Grove
191756,Instagram,Product Launch,Technology,Women 18-24,Women,18-24,30 Days,30,2022-07-07,13249,40765,0.32500919906782777,0.04,4,mid,5170.45,0.39025209449769793,5.57,New York,English,Quantum Quirks
326817,Instagram,Market Expansion,Technology,Men 25-34,Men,25-34,30 Days,30,2022-11-29,10820,33570,0.3223115877271373,0.04,5,mid,4283.29,0.3958678373382625,1.91,Las Vegas,English,Pixel Pioneers
558350,Instagram,Increase Sales,Food,Women 25-34,Women,25-34,15 Days,15,2022-11-13,2159,7916,0.2727387569479535,0.01,10,high,552.2,0.25576655859194075,0.4,Los Angeles,French,Feast Flavors
199336,Instagram,Brand Awareness,Home,Men 35-44,Men,35-44,45 Days,45,2022-08-13,29605,89210,0.3318574150879946,0.13,1,low,11193.17,0.37808376963350787,0.86,Las Vegas,English,Domestic Dream
808869,Instagram,Brand Awareness,Home,Women 18-24,Women,18-24,15 Days,15,2022-12-17,8028,25298,0.3173373389200727,0.15,1,low,3251.01,0.40495889387144995,7.64,Miami,Spanish,Space Spruce
123048,Instagram,Brand Awareness,Home,Women 35-44,Women,35-44,60 Days,60,2022-03-09,32629,98169,0.33237580091474905,0.01,8,high,12326.06,0.37776395231236015,0.6,Austin,English,Cozy Corners
639553,Instagram,Market Expansion,Technology,All Ages,,,15 Days,15,2022-03-22,2892,10086,0.2867340868530637,0.02,6,mid,1015.81,0.35124827109266943,2.43,New York,Spanish,Code Crafters
547177,Instagram,Product Launch,Technology,Women 18-24,Women,18-24,60 Days,60,2022-01-16,37017,111166,0.3329885036791825,0.03,9,high,14169.09,0.382772509927871,6.53,Los Angeles,Spanish,Giga Geeks
429961,Instagram,Product Launch,Home,Women 18-24,Women,18-24,30 Days,30,2022-11-05,19154,58254,0.3288014556940296,0.01,7,high,7356.4,0.3840659914378198,3.33,New York,French,Nest Neat
329176,Instagram,Increase Sales,Home,Women 25-34,Women,25-34,15 Days,15,2022-08-13,10249,31876,0.32152716777512863,0.08,5,mid,4075.98,0.3976953849156015,5.09,New York,French,Nest Neat
216909,Instagram,Product Launch,Technology,Men 18-24,Men,18-24,30 Days,30,2022-05-04,16602,50696,0.3274814581032034,0.04,8,high,6406.91,0.38591193832068427,3.09,Miami,French,Pixel Pioneers
256852,Instagram,Increase Sales,Fashion,Men 18-24,Men,18-24,15 Days,15,2022-05-14,1256,5240,0.23969465648854962,0.02,7,high,500.0,0.3980891719745223,0.95,Miami,Spanish,Vogue Visions
515933,Instagram,Product Launch,Food,Men 45-60,Men,45-60,15 Days,15,2022-07-01,935,4290,0.21794871794871795,0.14,2,low,500.0,0.5347593582887701,3.78,Las Vegas,English,Gastronomy Guild
323556,Instagram,Product Launch,Home,All Ages,,,15 Days,15,2022-05-22,4626,15221,0.30392221273240916,0.08,4,mid,1883.02,0.407051448335495,0.45,Los Angeles,French,Hearth Harmony
288725,Instagram,Product Launch,Technology,Men 18-24,Men,18-24,45 Days,45,2022-11-05,20643,62665,0.3294183355940318,0.03,5,mid,7902.22,0.382803856028678,7.42,Las Vegas,Spanish,Innovate Infinity
455065,Instagram,Product Launch,Fashion,Men 45-60,Men,45-60,45 Days,45,2022-09-10,21427,64988,0.32970702283498493,0.08,1,low,8187.78,0.3821244224576469,7.72,Austin,English,Style Sphere
772197,Instagram,Market Expansion,Health,Men 18-24,Men,18-24,45 Days,45,2022-04-05,20837,63238,0.32950124924886937,0.05,2,low,7972.41,0.38260834093199597,7.29,New York,Spanish,Fitness Front
571431,Instagram,Market Expansion,Food,Women 18-24,Women,18-24,45 Days,45,2022-05-19,27290,82353,0.3313783347297609,0.11,8,high,10344.69,0.37906522535727377,7.72,New York,French,Nosh Nirvana
151111,Instagram,Product Launch,Home,Men 18-24,Men,18-24,15 Days,15,2022-10-19,10156,31602,0.3213720650591735,0.1,7,high,4042.91,0.39808093737692,0.21,Austin,Spanish,Hearth Harmony
172227,Instagram,Brand Awareness,Health,Women 25-34,Women,25-34,30 Days,30,2022-11-19,18706,56929,0.3285847283458343,0.12,2,low,7186.89,0.3842023949534909,4.3,Las Vegas,English,Vital Vigor
901004,Instagram,Increase Sales,Technology,Men 35-44,Men,35-44,45 Days,45,2022-05-24,23693,71700,0.3304463040446304,0.07,4,mid,9023.66,0.3808576372768328,4.4,Miami,English,Innovate Infinity
529095,Instagram,Product Launch,Food,All Ages,,,60 Days,60,2022-06-01,38237,114778,0.33313875481364025,0.08,6,mid,14878.44,0.3891110704291655,7.5,New York,Spanish,Bistro Bliss
891598,Instagram,Market Expansion,Food,Women 18-24,Women,18-24,30 Days,30,2022-12-11,19668,59777,0.32902286832728306,0.03,9,high,7545.37,0.3836368720764694,7.15,New York,French,Gourmet Grove
866622,Instagram,Increase Sales,Fashion,Women 45-60,Women,45-60,60 Days,60,2022-02-19,38043,114203,0.3331173436774866,0.14,8,high,14748.18,0.38767131929658544,4.1,New York,French,Attire Artistry
470933,Instagram,Product Launch,Health,Women 45-60,Women,45-60,60 Days,60,2022-02-07,31145,93772,0.3321353922279572,0.11,4,mid,11759.86,0.3775842029218173,5.72,Las Vegas,Spanish,Vital Vigor
760477,Instagram,Increase Sales,Health,Men 18-24,Men,18-24,15 Days,15,2022-09-03,8396,26388,0.31817492799757463,0.07,7,high,3389.33,0.4036838970938542,3.57,New York,English,Pulse Point
561657,Instagram,Product Launch,Food,Men 25-34,Men,25-34,45 Days,45,2022-01-16,26504,80025,0.3311965010934083,0.1,8,high,10056.26,0.37942423785089047,6.03,Las Vegas,Spanish,Savor Street
343297,Instagram,Market Expansion,Technology,All Ages,,,60 Days,60,2022-11-23,39035,117143,0.3332252033838983,0.08,7,high,15000.0,0.38427052645062126,3.43,Austin,English,Gadget Giants
631378,Instagram,Increase Sales,Food,Women 35-44,Women,35-44,60 Days,60,2022-11-18,32054,96463,0.33229321086841584,0.1,1,low,12108.82,0.3777631496849067,7.94,New York,Spanish,Nosh Nirvana
581296,Instagram,Product Launch,Fashion,Men 25-34,Men,25-34,15 Days,15,2022-02-23,4038,13480,0.29955489614243325,0.1,6,mid,1612.86,0.39942050520059436,6.13,Miami,Spanish,Chic Couture
632624,Instagram,Brand Awareness,Health,Women 18-24,Women,18-24,45 Days,45,2022-07-28,30042,90504,0.33194112967382655,0.11,5,mid,11354.41,0.3779512016510219,4.21,Los Angeles,English,Pulse Point
887476,Instagram,Increase Sales,Home,Men 45-60,Men,45-60,60 Days,60,2022-12-26,34220,102880,0.33262052877138415,0.04,1,low,12937.67,0.378073348918761,1.13,Las Vegas,French,Living Luxe
998153,Instagram,Brand Awareness,Health,Women 45-60,Women,45-60,45 Days,45,2022-04-16,28465,85835,0.3316246286479874,0.04,4,mid,10777.07,0.37860776392060425,1.8,New York,English,Pulse Point
420929,Instagram,Brand Awareness,Food,Men 18-24,Men,18-24,45 Days,45,2022-07-22,24306,73516,0.3306219054355514,0.07,8,high,9252.72,0.38067637620340655,5.2,New York,French,Dine Divine
475027,Instagram,Increase Sales,Food,Women 18-24,Women,18-24,45 Days,45,2022-07-08,27045,81628,0.33132013524770915,0.05,4,mid,10253.82,0.3791392124237382,4.89,Austin,French,Gourmet Grove
347875,Instagram,Market Expansion,Fashion,Women 35-44,Women,35-44,15 Days,15,2022-12-30,8743,27416,0.31890137146192005,0.12,2,low,3522.65,0.4029109001486904,4.46,Austin,French,Mode Maven
599927,Instagram,Market Expansion,Fashion,All Ages,,,60 Days,60,2022-01-25,32499,97783,0.3323583854044159,0.02,5,mid,12275.44,0.3777174682297917,5.66,Los Angeles,French,Silk & Style
